"Población de derecho a 1-5-96";;;;
"Provincia";"Municipio";"Total";"Varones";"Mujeres"
"ESPAÑA";;39669394;19399549;20269845
"Alava";"Alegría-Dulantzi";1234;640;594
"Alava";"Amurrio";9758;4866;4892
"Alava";"Aramaio";1345;704;641
"Alava";"Armiñón";139;73;66
"Alava";"Arraia-Maeztu";684;363;321
"Alava";"Arrazua-Ubarrundia";745;388;357
"Alava";"Artziniega";1293;648;645
"Alava";"Asparrena";1541;763;778
"Alava";"Ayala";2008;1005;1003
"Alava";"Baños de Ebro";335;182;153
"Alava";"Barrundia";554;308;246
"Alava";"Berantevilla";403;209;194
"Alava";"Bernedo";540;313;227
"Alava";"Campezo";1109;582;527
"Alava";"Cripán";200;104;96
"Alava";"Cuartango";343;195;148
"Alava";"Elburgo";192;104;88
"Alava";"Elciego";921;462;459
"Alava";"Elvillar";348;188;160
"Alava";"Harana/Valle de Arana";366;201;165
"Alava";"Iruña de Oca";1616;853;763
"Alava";"Iruraiz-Gauna";408;224;184
"Alava";"Labastida";1082;573;509
"Alava";"Lagrán";190;101;89
"Alava";"Laguardia";1423;727;696
"Alava";"Lanciego";650;339;311
"Alava";"Lantarón";829;448;381
"Alava";"Lapuebla de Labarca";861;430;431
"Alava";"Legutiano";1311;693;618
"Alava";"Leza";182;99;83
"Alava";"Llodio";19913;9999;9914
"Alava";"Moreda de Alava";283;155;128
"Alava";"Navaridas";227;125;102
"Alava";"Okondo";770;388;382
"Alava";"Oyón/Oion";2242;1130;1112
"Alava";"Peñacerrada-Urizaharra";251;140;111
"Alava";"Ribera Alta";512;297;215
"Alava";"Ribera Baja";465;247;218
"Alava";"Salinas de Añana";203;105;98
"Alava";"Salvatierra o Agurain";3796;1929;1867
"Alava";"Samaniego";305;151;154
"Alava";"San Millán";691;377;314
"Alava";"Urkabustaiz";836;447;389
"Alava";"Valdegovía";883;492;391
"Alava";"Villabuena de Alava";345;170;175
"Alava";"Vitoria-Gasteiz";214234;105300;108934
"Alava";"Yécora";254;126;128
"Alava";"Zalduondo";136;73;63
"Alava";"Zambrana";357;196;161
"Alava";"Zigoitia";1057;576;481
"Alava";"Zuia";1451;732;719
"ALAVA";"ALAVA";281821;139940;141881
;;;;
"Albacete";"Abengibre";1019;506;513
"Albacete";"Alatoz";683;357;326
"Albacete";"Albacete";143799;70234;73565
"Albacete";"Albatana";907;458;449
"Albacete";"Alborea";798;420;378
"Albacete";"Alcadozo";809;412;397
"Albacete";"Alcalá del Júcar";1563;799;764
"Albacete";"Alcaraz";1799;878;921
"Albacete";"Almansa";23507;11569;11938
"Albacete";"Alpera";2353;1209;1144
"Albacete";"Ayna";1086;545;541
"Albacete";"Balazote";2203;1116;1087
"Albacete";"Balsa de Ves";270;146;124
"Albacete";"Ballestero (El)";595;294;301
"Albacete";"Barrax";1979;995;984
"Albacete";"Bienservida";952;481;471
"Albacete";"Bogarra";1448;755;693
"Albacete";"Bonete";1245;633;612
"Albacete";"Bonillo (El)";3333;1692;1641
"Albacete";"Carcelén";676;356;320
"Albacete";"Casas de Juan Núñez";1322;689;633
"Albacete";"Casas de Lázaro";455;244;211
"Albacete";"Casas de Ves";962;489;473
"Albacete";"Casas-Ibáñez";4041;2034;2007
"Albacete";"Caudete";8765;4359;4406
"Albacete";"Cenizate";1091;567;524
"Albacete";"Corral-Rubio";481;247;234
"Albacete";"Cotillas";235;118;117
"Albacete";"Chinchilla de Monte-Aragón";3153;1629;1524
"Albacete";"Elche de la Sierra";4010;1984;2026
"Albacete";"Férez";814;417;397
"Albacete";"Fuensanta";401;199;202
"Albacete";"Fuentealbilla";1842;933;909
"Albacete";"Fuente-Alamo";2449;1245;1204
"Albacete";"Gineta (La)";2083;1003;1080
"Albacete";"Golosalvo";140;67;73
"Albacete";"Hellín";26021;12899;13122
"Albacete";"Herrera (La)";422;217;205
"Albacete";"Higueruela";1298;643;655
"Albacete";"Hoya-Gonzalo";770;384;386
"Albacete";"Jorquera";594;317;277
"Albacete";"Letur";1386;685;701
"Albacete";"Lezuza";1841;955;886
"Albacete";"Liétor";1758;908;850
"Albacete";"Madrigueras";4513;2290;2223
"Albacete";"Mahora";1397;690;707
"Albacete";"Masegoso";180;105;75
"Albacete";"Minaya";1772;891;881
"Albacete";"Molinicos";1444;743;701
"Albacete";"Montalvos";153;79;74
"Albacete";"Montealegre del Castillo";2153;1084;1069
"Albacete";"Motilleja";541;268;273
"Albacete";"Munera";4168;2107;2061
"Albacete";"Navas de Jorquera";540;276;264
"Albacete";"Nerpio";1928;1025;903
"Albacete";"Ontur";2469;1225;1244
"Albacete";"Ossa de Montiel";2876;1430;1446
"Albacete";"Paterna del Madera";623;333;290
"Albacete";"Peñas de San Pedro";1282;678;604
"Albacete";"Peñascosa";452;230;222
"Albacete";"Pétrola";979;498;481
"Albacete";"Povedilla";745;392;353
"Albacete";"Pozohondo";1911;986;925
"Albacete";"Pozo-Lorente";540;251;289
"Albacete";"Pozuelo";684;356;328
"Albacete";"Recueja (La)";361;180;181
"Albacete";"Riópar";1436;738;698
"Albacete";"Robledo";459;237;222
"Albacete";"Roda (La)";13523;6774;6749
"Albacete";"Salobre";644;331;313
"Albacete";"San Pedro";1336;674;662
"Albacete";"Socovos";2106;1078;1028
"Albacete";"Tarazona de la Mancha";5976;2988;2988
"Albacete";"Tobarra";7344;3652;3692
"Albacete";"Valdeganga";2022;1013;1009
"Albacete";"Vianos";497;243;254
"Albacete";"Villa de Ves";68;34;34
"Albacete";"Villalgordo del Júcar";1328;656;672
"Albacete";"Villamalea";3449;1769;1680
"Albacete";"Villapalacios";908;451;457
"Albacete";"Villarrobledo";22165;10855;11310
"Albacete";"Villatoya";194;101;93
"Albacete";"Villavaliente";307;158;149
"Albacete";"Villaverde de Guadalimar";570;302;268
"Albacete";"Viveros";595;309;286
"Albacete";"Yeste";5014;2563;2451
"ALBACETE";"ALBACETE";359010;178130;180880
;;;;
"Alicante";"Adsubia";582;292;290
"Alicante";"Agost";4017;2008;2009
"Alicante";"Agres";656;342;314
"Alicante";"Aigües";544;272;272
"Alicante";"Albatera";8417;4213;4204
"Alicante";"Alcalalí";842;422;420
"Alicante";"Alcocer de Planes";122;52;70
"Alicante";"Alcoleja";294;141;153
"Alicante";"Alcoy/Alcoi";60921;29305;31616
"Alicante";"Alfafara";391;190;201
"Alicante";"Alfàs del Pi (l')";12547;6127;6420
"Alicante";"Algorfa";1140;581;559
"Alicante";"Algueña";1425;685;740
"Alicante";"Alicante/Alacant";274577;131776;142801
"Alicante";"Almoradí";13479;6739;6740
"Alicante";"Almudaina";125;62;63
"Alicante";"Alqueria d'Asnar (l')";407;198;209
"Alicante";"Altea";13519;6630;6889
"Alicante";"Aspe";16391;8199;8192
"Alicante";"Balones";176;83;93
"Alicante";"Banyeres de Mariola";7056;3517;3539
"Alicante";"Benasau";210;106;104
"Alicante";"Benejama";1799;897;902
"Alicante";"Benejúzar";5009;2481;2528
"Alicante";"Benferri";1011;509;502
"Alicante";"Beniarbeig";1208;592;616
"Alicante";"Beniardá";224;107;117
"Alicante";"Beniarrés";1464;738;726
"Alicante";"Benichembla";390;196;194
"Alicante";"Benidoleig";783;378;405
"Alicante";"Benidorm";50040;24552;25488
"Alicante";"Benifallim";169;82;87
"Alicante";"Benifato";140;71;69
"Alicante";"Benijófar";1592;773;819
"Alicante";"Benilloba";961;490;471
"Alicante";"Benillup";105;54;51
"Alicante";"Benimantell";432;200;232
"Alicante";"Benimarfull";408;186;222
"Alicante";"Benimassot";122;62;60
"Alicante";"Benimeli";329;169;160
"Alicante";"Benissa";9154;4541;4613
"Alicante";"Benitachell/Poble Nou de Benitatxell (el)";1989;1001;988
"Alicante";"Biar";3568;1720;1848
"Alicante";"Bigastro";4721;2398;2323
"Alicante";"Bolulla";306;152;154
"Alicante";"Busot";1373;682;691
"Alicante";"Calpe/Calp";14216;7073;7143
"Alicante";"Callosa de Segura";15230;7556;7674
"Alicante";"Callosa d'En Sarrià";6322;3178;3144
"Alicante";"Campello (el)";15200;7546;7654
"Alicante";"Campo de Mirra/Camp de Mirra (el)";379;183;196
"Alicante";"Cañada";1088;521;567
"Alicante";"Castalla";7631;3764;3867
"Alicante";"Castell de Castells";499;254;245
"Alicante";"Catral";4881;2430;2451
"Alicante";"Cocentaina";10737;5257;5480
"Alicante";"Confrides";300;174;126
"Alicante";"Cox";5750;2901;2849
"Alicante";"Crevillente";23781;11945;11836
"Alicante";"Daya Nueva";1189;610;579
"Alicante";"Daya Vieja";183;92;91
"Alicante";"Dénia";27469;13337;14132
"Alicante";"Dolores";6127;3041;3086
"Alicante";"Elche/Elx";191660;94407;97253
"Alicante";"Elda";52751;25738;27013
"Alicante";"Facheca";125;67;58
"Alicante";"Famorca";73;34;39
"Alicante";"Finestrat";1504;749;755
"Alicante";"Formentera del Segura";2112;1038;1074
"Alicante";"Gaianes";314;146;168
