"Código provincia";"Código Municipio";"NOMBRE";"Población total";"Varones ";"Mujeres"
"01";"0014";"Alegría-Dulantzi";1.259;656;603
"01";"0029";"Amurrio";9.753;4.854;4.899
"01";"0493";"Añana";185;94;91
"01";"0035";"Aramaio";1.365;721;644
"01";"0066";"Armiñón";145;75;70
"01";"0376";"Arraia-Maeztu";692;369;323
"01";"0088";"Arrazua-Ubarrundia";761;399;362
"01";"0040";"Artziniega";1.317;660;657
"01";"0091";"Asparrena";1.544;771;773
"01";"0105";"Ayala/Aiara";2.001;995;1.006
"01";"0112";"Baños de Ebro/Mañueta";334;182;152
"01";"0133";"Barrundia";586;329;257
"01";"0148";"Berantevilla";406;211;195
"01";"0164";"Bernedo";548;316;232
"01";"0170";"Campezo/Kanpezu";1.073;560;513
"01";"0210";"Elburgo";231;128;103
"01";"0225";"Elciego";909;462;447
"01";"0231";"Elvillar/Bilar";352;189;163
"01";"0565";"Harana/Valle de Arana";358;198;160
"01";"9015";"Iruña Oka/Iruña de Oca";1.683;886;797
"01";"0278";"Iruraiz-Gauna";417;231;186
"01";"0199";"Kripan";187;96;91
"01";"0203";"Kuartango";362;203;159
"01";"0284";"Labastida";1.177;627;550
"01";"0301";"Lagrán";195;105;90
"01";"0318";"Laguardia";1.409;724;685
"01";"0323";"Lanciego/Lantziego";645;335;310
"01";"9020";"Lantarón";901;509;392
"01";"0339";"Lapuebla de Labarca";864;437;427
"01";"0587";"Legutiano";1.324;693;631
"01";"0344";"Leza";172;93;79
"01";"0360";"Llodio";19.694;9.859;9.835
"01";"0395";"Moreda de Álava";289;155;134
"01";"0416";"Navaridas";217;122;95
"01";"0421";"Okondo";810;414;396
"01";"0437";"Oyón/Oion";2.246;1.133;1.113
"01";"0442";"Peñacerrada-Urizaharra";243;134;109
"01";"0468";"Ribera Alta";518;302;216
"01";"0474";"Ribera Baja/Erribera Beitia";499;274;225
"01";"0513";"Salvatierra o Agurain";3.876;1.940;1.936
"01";"0528";"Samaniego";305;150;155
"01";"0534";"San Millán/Donemiliaga";700;382;318
"01";"0549";"Urkabustaiz";821;453;368
"01";"0552";"Valdegovía";896;488;408
